09-05 22:49:18.849: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs KING CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.06557377049180328, bestCard=TWO SWORDS]
09-05 22:49:18.869: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs THREE CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.16393442622950818, bestCard=TWO SWORDS]
09-05 22:49:18.889: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.889: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.989: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:19.069: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:19.069: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:19.089: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:19.099: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:19.169: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:19.169: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.033384256811015145, loss=0.0011947431302270011, bestCard=TWO SWORDS]
